40,NA,NA,40.00%,750 ml,NA,NA,855 €,Linkwood,"Original Bottling, Speyside Single Malt"
40,NA,NA,40.00%,750 ml,NA,NA,855 €,Linkwood,"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,116 €,Littlemill,"Original Bottling, Lowlands Single Malt"
12,NA,NA,40.00%,750 ml,NA,NA,138 €,Littlemill (US Import),"Original Bottling, Lowlands Single Malt"
24,1975,1999,40.00%,700 ml,NA,NA,498 €,Littlemill,"Original Bottling, Lowlands Single Malt"
8,1989,1997,43.00%,700 ml,879,870,139 €,Littlemill,"Signatory Vintage, Lowlands Single Malt"
15,1990,2005,56.60%,700 ml,NA,NA,292 €,Littlemill 97.4,"Scotch Malt Whisky Society, Lowlands Single Malt"
26,1991,2017,53.10%,700 ml,NA,NA,375 €,Littlemill,"Cadenhead, Lowlands Single Malt"
22,1992,2014,53.70%,700 ml,NA,558,246 €,Littlemill Small Batch,"Cadenhead, Lowlands Single Malt"
21,NA,2014,47.00%,700 ml,NA,4600,312 €,Littlemill 2nd Release,"Original Bottling, Lowlands Single Malt"
10,NA,NA,40.00%,750 ml,NA,NA,140 €,Loch Dhu,"Original Bottling, Speyside Single Malt"
48,1964,2012,41.20%,700 ml,6799,540,443 €,Lochside Cooper´s Choice,"The Vintage Malt Whisky Co Ltd., Highlands Single Grain"
20,1981,2001,46.00%,700 ml,NA,NA,216 €,Lochside,"Murray McDavid, Highlands Single Malt"
27,NA,NA,60.50%,750 ml,NA,NA,316 €,Lochside,"James MacArthur, Highlands Single Grain"
15,NA,NA,45.00%,700 ml,NA,NA,85 €,Longmorn,"Original Bottling, Speyside Single Malt"
15,NA,NA,43.00%,750 ml,NA,NA,142 €,Longmorn (1980s),"Original Bottling, Speyside Single Malt"
50,1964,2014,43.00%,700 ml,NA,NA,1065 €,Longmorn,"Gordon & MacPhail, Speyside Single Malt"
45,1966,2011,55.40%,700 ml,NA,523,925 €,Longmorn Reserve,"Gordon & MacPhail, Speyside Single Malt"
17,1996,2013,46.00%,700 ml,72322,748,114 €,Longmorn,"Signatory Vintage, Speyside Single Malt"
18,NA,NA,46.00%,700 ml,NA,NA,105 €,Longrow,"Original Bottling, Campbeltown Single Malt"
12,1996,2008,57.60%,700 ml,NA,600,139 €,Longrow Fino Sherry Butt (Springbank Society),"Original Bottling, Campbeltown Single Malt"
NA,NA,NA,46.00%,700 ml,NA,NA,48 €,Longrow Peated Single Malt,"Original Bottling, Campbeltown Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,73 €,Macallan,"Original Bottling, Speyside Single Malt"
10,NA,NA,43.00%,50 ml,NA,NA,60 €,Macallan (1990s),"Original Bottling, Speyside Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,54 €,Macallan Fine Oak (Triple Cask Matured),"Original Bottling, Speyside Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,60 €,Macallan Fine Oak,"Original Bottling, Speyside Single Malt"
10,NA,NA,43.00%,700 ml,NA,250,395 €,Macallan The Vintners Rooms (Special Release),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,69 €,Macallan,"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,62 €,Macallan Double Cask (Old Style),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,84 €,Macallan Fine Oak (Ernie Button),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,800,461 €,Macallan Ghillies Dram,"Original Bottling, Speyside Single Malt"
15,NA,NA,43.00%,700 ml,NA,NA,98 €,Macallan Fine Oak (Triple Cask Matured),"Original Bottling, Speyside Single Malt"
18,1976,1994,43.00%,50 ml,NA,NA,162 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1978,1996,43.00%,50 ml,NA,NA,146 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1992,2010,43.00%,700 ml,NA,NA,430 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1994,2012,43.00%,700 ml,NA,NA,283 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1996,2014,43.00%,750 ml,NA,NA,274 €,Macallan (US Import),"Original Bottling, Speyside Single Malt"
18,1997,2015,43.00%,700 ml,NA,NA,269 €,Macallan,"Original Bottling, Speyside Single Malt"
18,NA,NA,43.00%,700 ml,NA,NA,164 €,Macallan Fine Oak (Triple Cask Matured Old Style),"Original Bottling, Speyside Single Malt"
18,NA,NA,43.00%,700 ml,NA,NA,148 €,Macallan Fine Oak,"Original Bottling, Speyside Single Malt"
NA,NA,NA,41.30%,700 ml,NA,NA,251 €,Macallan 1851 Inspiration (Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,41.30%,700 ml,NA,NA,219 €,Macallan 1851 Inspiration,"Original Bottling, Speyside Single Malt"
18,1969,1987,43.00%,50 ml,NA,NA,116 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1973,1991,43.00%,50 ml,NA,NA,181 €,Macallan,"Original Bottling, Speyside Single Malt"
21,1985,2006,53.00%,700 ml,NA,NA,213 €,Macallan Scott´s Selection,"Robert Scott & Co, Speyside Single Malt"
12,1988,2000,43.00%,1500 ml,2499,372,635 €,Macallan,"Signatory Vintage, Speyside Single Malt"
11,1988,1999,55.90%,700 ml,NA,NA,452 €,Macallan 24.57,"Scotch Malt Whisky Society, Speyside Single Malt"
12,1991,2003,40.00%,1000 ml,NA,NA,234 €,Macallan Elegancia (Old Style),"Original Bottling, Speyside Single Malt"
NA,1990,NA,56.10%,700 ml,NA,NA,212 €,Macallan Embassy Collection (150th Anniversary ),"Braunstein, Speyside Single Malt"
20,1994,2014,40.00%,700 ml,NA,NA,115 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
NA,1995,NA,43.00%,700 ml,NA,NA,111 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
14,1997,2011,59.70%,50 ml,16946,550,282 €,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt"
19,1998,2017,43.00%,700 ml,NA,NA,125 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
7,NA,NA,40.00%,700 ml,NA,NA,183 €,Macallan (Maxxium),"Original Bottling, Speyside Single Malt"
NA,NA,2001,43.00%,700 ml,NA,NA,544 €,Macallan Chairmans Release,"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,500 ml,NA,NA,255 €,Macallan Decades (Fifties Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,500 ml,NA,NA,151 €,Macallan Decades (Forties),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,500 ml,NA,NA,225 €,Macallan Decades (Forties Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,500 ml,NA,NA,200 €,Macallan Decades (Thirties Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,500 ml,NA,NA,185 €,Macallan Decades (Twenties Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,700 ml,NA,NA,81 €,Macallan Gold (Limited Edition),"Original Bottling, Speyside Single Malt"
NA,NA,NA,46.50%,700 ml,NA,NA,789 €,Macallan Oscuro,"Original Bottling, Speyside Single Malt"
NA,NA,NA,46.50%,700 ml,NA,NA,637 €,Macallan Oscuro (Old Style),"Original Bottling, Speyside Single Malt"
NA,NA,NA,48.00%,700 ml,NA,NA,391 €,Macallan Rare Cask Black,"Original Bottling, Speyside Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,135 €,Macallan,"The Royal Collection, Speyside Single Malt"
29,NA,NA,43.50%,500 ml,6,293,960 €,Macallan,"That Boutique-y Whisky Company, Speyside Single Malt"
NA,NA,NA,42.80%,700 ml,NA,NA,115 €,Macallan Whisky Makers Edition (1930´s Roadstar),"Original Bottling, Speyside Single Malt"
8,2008,2016,64.90%,700 ml,NA,312,69 €,Macduff Queen Elizabeth II,"Morrison and MacKay, Highlands Single Malt"
50,1938,1988,40.00%,50 ml,NA,NA,127 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
28,1988,2016,47.90%,700 ml,NA,267,268 €,Mannochmore Birds,"Antique Lions of Spirits, Speyside Single Malt"
16,1991,2007,58.20%,700 ml,16599,597,106 €,Mannochmore,"Signatory Vintage, Speyside Single Malt"
3,2011,2014,57.00%,700 ml,NA,NA,115 €,Shinshu Mars Komagatake (Sherry and White Oak),"Original Bottling, Japan Single Malt"
3,2011,2014,58.00%,700 ml,NA,6000,130 €,Shinshu Mars Komagatake (The Revival),"Original Bottling, Japan Single Malt"
20,1971,1991,40.00%,750 ml,NA,NA,211 €,Millburn Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
26,1974,2000,40.00%,700 ml,NA,NA,252 €,Millburn Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
30,1978,2008,46.00%,700 ml,NA,NA,239 €,Millburn,"Gordon & MacPhail, Highlands Single Malt"
12,NA,NA,43.00%,1000 ml,NA,NA,44 €,Miltonduff (1990s),"Original Bottling, Speyside Single Malt"
15,NA,NA,40.00%,700 ml,NA,NA,60 €,Glenburgie Series No.2,"Original Bottling, Speyside Single Malt"
41,1969,2010,43.00%,700 ml,NA,NA,645 €,Miltonduff,"Gordon & MacPhail, Speyside Single Malt"
19,1997,2016,48.10%,700 ml,11026,222,141 €,Miltonduff Distillery Exclusive,"Original Bottling, Speyside Single Malt"
15,NA,NA,45.00%,700 ml,NA,NA,255 €,Miyagikyo,"Original Bottling, Japan Single Malt"
